"Cluster","RA","DEC","GLON","GLAT","r50","agenn","dmnn","distpc","pmRA*","e_pmRA*","pmDE","e_pmDE","plx","e_plx","nb","nbB0","nbB2","nbB4","SimbadName","_RA_icrs","_DE_icrs"
"Kronberger_69",300.499,31.42,68.516,0.433,0.033,7.61,12.14,2680,-2.785,0.052,-5.239,0.059,0.384,0.033,33,5,21,33,"Kronberger 69",300.499,31.42
"Turner_9",296.165,29.494,64.943,2.648,0.151,8.49,11.25,1774,0.336,0.053,-2.425,0.068,0.572,0.016,34,1,14,32,"Cl Turner 9",296.165,29.494
"SAI_132",299.248,31.609,68.116,1.44,0.07,8.9,12.47,3118,-2.385,0.045,-4.19,0.06,0.275,0.045,130,2,78,132,"SAI 132",299.248,31.609
"UBC_363",299.274,31.867,68.354,1.565,0.057,7.81,12.68,3429,-3.699,0.042,-6.275,0.052,0.228,0.033,67,12,51,68," ",299.274,31.867
"NGC_6846",299.112,32.349,68.689,1.923,0.021,8.69,13.63,5321,-2.884,0.057,-5.08,0.064,0.086,0.047,53,14,51,53,"NGC 6846",299.112,32.349
"UBC_135",299.824,33.724,70.177,2.136,0.066,7.38,13.15,4263,-3.507,0.051,-6.449,0.055,0.234,0.029,62,19,54,62," ",299.824,33.724
"Teutsch_35",294.091,35.742,69.565,7.218,0.414,8.01,8.54,509,-0.645,0.137,-2.472,0.131,2.006,0.036,141,2,6,24,"Teutsch 35",294.091,35.742
"ASCC_101",288.399,36.369,68.028,11.608,0.372,8.69,8.08,412,0.94,0.211,1.262,0.219,2.52,0.033,68,1,5,19,"[KPR2005] 101",288.399,36.369
"NGC_6791",290.221,37.778,69.964,10.906,0.068,9.8,13.13,4231,-0.419,0.089,-2.275,0.1,0.21,0.052,1609,15,120,1112,"NGC 6791",290.221,37.778
"UBC_136",304.49,32.582,71.336,-1.77,0.133,8.22,10.68,1365,-0.045,0.049,-3.312,0.067,0.694,0.022,86,4,29,73," ",304.49,32.582
"UBC_578",301.607,33.015,70.356,0.488,0.045,7.34,13.21,4393,-2.663,0.015,-4.982,0.019,0.208,0.025,13,4,13,13," ",301.607,33.015
"Roslund_5",302.641,33.751,71.451,0.166,0.378,7.99,8.69,546,2.06,0.143,-1.198,0.108,1.847,0.029,150,3,11,34,"Cl Roslund 5",302.641,33.751
"UBC_365",303.314,34.364,72.279,0.035,0.078,7.62,12.38,2998,-2.248,0.043,-5.308,0.063,0.3,0.024,81,21,64,83," ",303.314,34.364
"Teutsch_28",307.059,35.103,74.625,-2.078,0.058,9.28,13.1,4168,-2.11,0.438,-3.923,0.343,0.254,0.077,47,4,37,47,"Teutsch 28",307.059,35.103
"UBC_371",305.886,36.099,74.841,-0.74,0.207,7.61,11.22,1754,-2.394,0.078,-4.377,0.144,0.527,0.032,60,2,23,56," ",305.886,36.099
"Teutsch_30",306.929,36.074,75.352,-1.426,0.026,7.46,11.23,1760,-3.183,0.071,-5.719,0.039,0.547,0.034,28,5,11,26,"Teutsch 30",306.929,36.074
"UBC_373",306.874,37.665,76.615,-0.46,0.064,7.81,10.4,1201,-0.597,0.052,-3.646,0.083,0.786,0.022,20,3,9,17," ",306.874,37.665
"ASCC_110",300.742,33.528,70.411,1.378,0.203,8.9,11.47,1971,0.296,0.047,-3.176,0.058,0.507,0.017,65,1,23,54,"[KPR2005] 110",300.742,33.528
"Toepler_1",300.318,33.615,70.299,1.724,0.016,7.81,12.69,3454,-2.348,0.021,-5.104,0.034,0.271,0.032,20,3,17,20,"Cl Toepler 1",300.318,33.615
"Gulliver_38",300.808,34.435,71.209,1.814,0.06,8.91,11.94,2447,-0.926,0.065,-2.578,0.069,0.409,0.032,93,1,26,82,"Cl Gulliver 38",300.808,34.435
